"","priceLogInc","mu_range","sigma_range","mu_size","sigma_size","sigma_ev","truck","suv","sportcar","van"
"priceLogInc",1,-0.17960557178911,-0.214893631496485,-0.0326579029228092,-0.248204388260191,0.168136654177101,0.0513984055425826,-0.0199035197225271,-0.0143895785919366,0.0205357967036475
"mu_range",-0.17960557178911,1,0.851248078442407,0.104126793712914,0.565854362461303,-0.534537915977055,-0.178665653482673,0.0598059300393957,0.0592599758562387,-0.0582522208938266
"sigma_range",-0.214893631496485,0.851248078442407,1,0.107261745543917,0.517365260909576,-0.570419264800367,-0.18242713566446,0.0675289590852392,0.0609117958010743,-0.0528061611293995
"mu_size",-0.0326579029228092,0.104126793712914,0.107261745543917,1,0.121347000042503,-0.197463920639282,-0.0732236473439787,-0.0694088681315643,-0.070433227190514,-0.0543327561424641
"sigma_size",-0.248204388260191,0.565854362461303,0.517365260909576,0.121347000042503,1,-0.601967091293499,-0.181955281494772,0.0582622004328637,0.0573960802124108,-0.0909937911215032
"sigma_ev",0.168136654177101,-0.534537915977055,-0.570419264800367,-0.197463920639282,-0.601967091293499,1,0.191979597611621,-0.102747484477735,-0.101067055899992,0.0697376962291194
"truck",0.0513984055425826,-0.178665653482673,-0.18242713566446,-0.0732236473439787,-0.181955281494772,0.191979597611621,1,0.0983062417460381,0.0931102153836995,0.188267073967273
"suv",-0.0199035197225271,0.0598059300393957,0.0675289590852392,-0.0694088681315643,0.0582622004328637,-0.102747484477735,0.0983062417460381,1,0.646568810204358,0.0172913774346239
"sportcar",-0.0143895785919366,0.0592599758562387,0.0609117958010743,-0.070433227190514,0.0573960802124108,-0.101067055899992,0.0931102153836995,0.646568810204358,1,0.0163342380567053
"van",0.0205357967036475,-0.0582522208938266,-0.0528061611293995,-0.0543327561424641,-0.0909937911215032,0.0697376962291194,0.188267073967273,0.0172913774346239,0.0163342380567053,1
