"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"priceLogInc",-0.272725349968218,0.0445827727571464,-6.11728102811869,0.0448833465619582,-6.07631495552009
"mu_range",0.00557293423819204,0.000595951416242107,9.35132308827004,0.000604594642980445,9.21763747478704
"sigma_range",0.00704890958737783,0.00133603802129626,5.27597978127807,0.00132791954115478,5.30823545321729
"mu_size",1.73950286482395,0.406785909336357,4.27621219147396,0.365079061406348,4.76472920173258
"sigma_size",11.7788863202778,1.43241037298629,8.22312274639647,1.22163368972837,9.6419134633532
"sigma_ev",-3.63759493065938,0.590443322712017,-6.16078595647626,0.627253289295387,-5.79924408964933
"sigma_large",0,NA,NA,NA,NA
"truck",-0.852154974704399,0.0514631149725501,-16.5585580110907,0.0512266116794594,-16.6350056497313
"suv",0.982330618600601,0.148833274683935,6.60020832496428,0.151582818706225,6.48048787444971
"sportcar",0.801790320949038,0.156144483279254,5.13492570541279,0.153167610094093,5.23472502088717
"van",-0.580532003064517,0.0499021316410131,-11.6334109180097,0.0468815145096672,-12.3829617949908
