"","priceLogInc","mu_range","sigma_range","mu_size","sigma_size","sigma_ev","truck","suv","sportcar","van"
"priceLogInc",0.00198762362671535,-4.77197035279894e-06,-1.27999843288739e-05,-0.000592272093250656,-0.0158505372893011,0.00442596211101292,0.000117926875441429,-0.000132067816039404,-0.000100170950709755,4.56875352239928e-05
"mu_range",-4.77197035279894e-06,3.55158090520973e-07,6.7777542552119e-07,2.52429003527911e-05,0.000483039873531722,-0.000188090814831291,-5.47958916318278e-06,5.30463054882534e-06,5.51440896103153e-06,-1.73237712866193e-06
"sigma_range",-1.27999843288739e-05,6.7777542552119e-07,1.78499759434923e-06,5.82947680753898e-05,0.000990110210241252,-0.000449977934301629,-1.25430838796463e-05,1.34279251070209e-05,1.27071122390792e-05,-3.52064723696428e-06
"mu_size",-0.000592272093250656,2.52429003527911e-05,5.82947680753898e-05,0.165474776034607,0.0707069985866239,-0.0474276790423066,-0.00153289825017938,-0.00420224046710111,-0.00447373374749055,-0.00110292691384925
"sigma_size",-0.0158505372893011,0.000483039873531722,0.000990110210241252,0.0707069985866239,2.05179947663872,-0.509117965574642,-0.0134130700650077,0.012420937533053,0.0128373781990759,-0.00650426630801095
"sigma_ev",0.00442596211101292,-0.000188090814831291,-0.000449977934301629,-0.0474276790423066,-0.509117965574642,0.348623317335207,0.00583350215144209,-0.0090292037017514,-0.00931782340358049,0.00205477801106734
"truck",0.000117926875441429,-5.47958916318278e-06,-1.25430838796463e-05,-0.00153289825017938,-0.0134130700650077,0.00583350215144209,0.00264845220267791,0.000752969180183435,0.000748204034784954,0.000483492275713775
"suv",-0.000132067816039404,5.30463054882534e-06,1.34279251070209e-05,-0.00420224046710111,0.012420937533053,-0.0090292037017514,0.000752969180183435,0.0221513436531435,0.0150259324833718,0.000128424748983867
"sportcar",-0.000100170950709755,5.51440896103153e-06,1.27071122390792e-05,-0.00447373374749055,0.0128373781990759,-0.00931782340358049,0.000748204034784954,0.0150259324833718,0.0243810996585452,0.000127275444692995
"van",4.56875352239928e-05,-1.73237712866193e-06,-3.52064723696428e-06,-0.00110292691384925,-0.00650426630801095,0.00205477801106734,0.000483492275713775,0.000128424748983867,0.000127275444692995,0.002490222742317
