"","priceLogInc","mu_range","sigma_range","mu_size","sigma_size","sigma_ev","truck","suv","sportcar","van"
"priceLogInc",0.00201451479860085,-4.10358663788373e-06,-1.08864449024137e-05,0.000792881683404482,-0.0115026738388513,0.00275653661552044,0.000234304943557599,-0.000288614746112604,-0.000267848346086604,5.75797660956727e-05
"mu_range",-4.10358663788373e-06,3.65534682320652e-07,6.89405891763689e-07,7.57902599384559e-06,0.000457923223941756,-0.000231006184244167,-1.02135872373549e-05,1.20333881443412e-05,1.27668944987428e-05,-3.21057332335029e-06
"sigma_range",-1.08864449024137e-05,6.89405891763688e-07,1.76337030778072e-06,3.06424606109753e-05,0.000974376449672553,-0.000537963690356365,-2.34620686848516e-05,2.73635233904796e-05,2.77973622217927e-05,-6.44494679241487e-06
"mu_size",0.000792881683404482,7.57902599384558e-06,3.06424606109753e-05,0.13328272107734,-0.0590923668891527,-0.0470138048017045,-0.00225640569927298,-0.00777211298020427,-0.00833398912205491,-0.00147227581984686
"sigma_size",-0.0115026738388513,0.000457923223941755,0.000974376449672553,-0.0590923668891527,1.49238887187935,-0.547681188401583,-0.0229116442153248,0.0311981097709523,0.0315774639180029,-0.0088211883428936
"sigma_ev",0.00275653661552044,-0.000231006184244167,-0.000537963690356365,-0.0470138048017044,-0.547681188401583,0.393446688931882,0.0120833914071334,-0.0176491754839802,-0.01828687240811,0.00384675467909385
"truck",0.000234304943557599,-1.02135872373549e-05,-2.34620686848516e-05,-0.00225640569927298,-0.0229116442153248,0.0120833914071334,0.00262416574415813,0.00014299721039929,0.000176732575598226,0.000490680449121756
"suv",-0.000288614746112604,1.20333881443412e-05,2.73635233904796e-05,-0.00777211298020427,0.0311981097709523,-0.0176491754839802,0.00014299721039929,0.0229773509269243,0.0169643191489241,-2.6644692214114e-07
"sportcar",-0.000267848346086603,1.27668944987428e-05,2.77973622217926e-05,-0.00833398912205491,0.0315774639180029,-0.01828687240811,0.000176732575598226,0.0169643191489241,0.023460316781936,6.49367695287534e-06
"van",5.75797660956727e-05,-3.21057332335028e-06,-6.44494679241487e-06,-0.00147227581984686,-0.0088211883428936,0.00384675467909385,0.000490680449121756,-2.66446922141224e-07,6.49367695287527e-06,0.00219787640272014
