"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"priceLogInc",-0.272827115955147,0.0440751139151487,-6.19004902586027,0.0444967020872304,-6.13140082652198
"mu_range",0.00557604191645927,0.000543781768251604,10.2541906367837,0.000541687963009438,10.2938265149564
"sigma_range",0.00705190273840144,0.00125404117728901,5.62334225232244,0.00123303649217944,5.71913547014082
"mu_size",1.74333757149685,0.469208450698785,3.71548630230449,0.491230130025037,3.54892231754594
"sigma_size",11.8117846221218,0.886405552722499,13.3254858183629,0.546599445511008,21.6095803227154
"sigma_ev",-3.6151380666989,0.581655336451362,-6.21525814368798,0.642691027193204,-5.62500161623095
"sigma_large",0,NA,NA,NA,NA
"truck",-0.851907011207772,0.0511623950844741,-16.6510385176689,0.0504719562128465,-16.8788189547315
"suv",0.982289708134257,0.145596795229875,6.74664374709192,0.144382269553995,6.80339567433458
"sportcar",0.801045583295811,0.152613468982241,5.24885246785805,0.145158183234226,5.51843213691406
"van",-0.580236488802694,0.049818532511318,-11.6470008158284,0.0467207999125497,-12.4192327590444
