"","priceLogInc","mu_range","sigma_range","mu_size","sigma_size","sigma_ev","truck","suv","sportcar","van"
"priceLogInc",1,-0.108315160384106,-0.149386415944945,0.0541402827802434,-0.187171155337426,0.0714799617601979,0.0795027971952387,0.0214706919570288,0.0203548455869935,0.0167925734042217
"mu_range",-0.108315160384106,1,0.829417941344032,-0.0844035725782167,0.464296415417376,-0.523574521014756,-0.280956558498637,-0.0802460793575241,-0.0481454454826482,-0.0918967879690146
"sigma_range",-0.149386415944945,0.829417941344031,1,-0.0797642730509738,0.479154946436193,-0.595508802010705,-0.306347673640109,-0.0732736623628763,-0.0439264093747941,-0.0875652705569605
"mu_size",0.0541402827802434,-0.0844035725782166,-0.0797642730509737,1,-0.360595508852992,0.0687409250724235,-0.0162558347170007,0.0315178049122382,0.0252453073107738,-0.0315052768313266
"sigma_size",-0.187171155337426,0.464296415417376,0.479154946436193,-0.360595508852992,1,-0.634585590183196,-0.344893578278974,-0.351935040512384,-0.321697825560934,-0.141835388880909
"sigma_ev",0.0714799617601978,-0.523574521014756,-0.595508802010705,0.0687409250724235,-0.634585590183196,1,0.341663877242544,0.0858980926408009,0.0312071930692215,0.126588780111148
"truck",0.0795027971952387,-0.280956558498637,-0.306347673640109,-0.0162558347170007,-0.344893578278974,0.341663877242544,1,0.0888444063693852,0.0797552070730392,0.196675907474792
"suv",0.0214706919570288,-0.0802460793575242,-0.0732736623628763,0.0315178049122382,-0.351935040512384,0.0858980926408009,0.0888444063693852,1,0.7005416427521,0.0295982147052581
"sportcar",0.0203548455869935,-0.0481454454826482,-0.0439264093747942,0.0252453073107738,-0.321697825560934,0.0312071930692215,0.0797552070730393,0.7005416427521,1,0.0253074306552012
"van",0.0167925734042217,-0.0918967879690146,-0.0875652705569605,-0.0315052768313266,-0.141835388880909,0.126588780111148,0.196675907474792,0.0295982147052581,0.0253074306552012,1
