"","priceLogInc","mu_range","sigma_range","mu_size","sigma_size","sigma_ev","truck","suv","sportcar","van"
"priceLogInc",1,-0.132433316682282,-0.177778716694494,0.000919356939965411,-0.199497378525314,0.131990610481778,0.0382022106190821,0.0194341918429405,0.0216773021726771,0.0132496343258507
"mu_range",-0.132433316682282,1,0.826960604092163,-0.00174988921145116,0.409686695727963,-0.449481669770309,-0.152709049440211,-0.0504663937420064,-0.0390035907176234,-0.0428291694903082
"sigma_range",-0.177778716694494,0.826960604092163,1,-0.00630400090208524,0.376810361779568,-0.514076308748041,-0.161439331531339,-0.0375512381346141,-0.0308099124523985,-0.0411607226665385
"mu_size",0.000919356939965411,-0.00174988921145116,-0.00630400090208524,1,0.00161885021692371,4.24366023575151e-05,-0.0241774851400584,-0.002997460173883,-0.00273629623067098,-0.0249031761400068
"sigma_size",-0.199497378525314,0.409686695727963,0.376810361779568,0.00161885021692371,1,-0.452713785118753,-0.149318068709354,-0.168637221951366,-0.158759167645449,-0.0709817985504084
"sigma_ev",0.131990610481778,-0.449481669770309,-0.514076308748041,4.24366023575151e-05,-0.452713785118753,1,0.175646306178005,0.0414949551205528,0.0158044721451184,0.0662495607622484
"truck",0.0382022106190821,-0.152709049440211,-0.161439331531339,-0.0241774851400584,-0.149318068709354,0.175646306178005,1,0.120247175015488,0.110087440836115,0.184746198888692
"suv",0.0194341918429405,-0.0504663937420064,-0.0375512381346141,-0.002997460173883,-0.168637221951366,0.0414949551205528,0.120247175015488,1,0.630026510887931,0.02831991123985
"sportcar",0.0216773021726771,-0.0390035907176234,-0.0308099124523985,-0.00273629623067098,-0.158759167645449,0.0158044721451184,0.110087440836115,0.630026510887931,1,0.0255651002061353
"van",0.0132496343258507,-0.0428291694903082,-0.0411607226665385,-0.0249031761400068,-0.0709817985504084,0.0662495607622484,0.184746198888692,0.02831991123985,0.0255651002061353,1
