"","priceLogInc","mu_range","sigma_range","mu_size","sigma_size","sigma_ev","truck","suv","sportcar","van"
"priceLogInc",0.00194261566663334,-3.17406153263365e-06,-9.82618660573207e-06,1.90126838923662e-05,-0.00779404851250824,0.00338378061355448,8.61455414764338e-05,0.000124713005242511,0.000145811419921736,2.90929838839106e-05
"mu_range",-3.17406153263365e-06,2.95698611482842e-07,5.6392488571232e-07,-4.46478984383286e-07,0.000197473567165965,-0.000142168160798403,-4.24854559583824e-06,-3.99556987515014e-06,-3.23684644685428e-06,-1.16025974863336e-06
"sigma_range",-9.82618660573207e-06,5.6392488571232e-07,1.5726192743364e-06,-3.70931648048666e-06,0.000418858276938408,-0.000374977408957926,-1.03579071778003e-05,-6.85626940159572e-06,-5.8965111693998e-06,-2.57149520442354e-06
"mu_size",1.90126838923662e-05,-4.46478984383286e-07,-3.70931648048666e-06,0.220156570207154,0.000673294336153654,1.1581695636038e-05,-0.000580400552927164,-0.000204772231301754,-0.000195939412612287,-0.000582118626898213
"sigma_size",-0.00779404851250824,0.000197473567165965,0.000418858276938408,0.000673294336153654,0.78571480389728,-0.233411314170791,-0.00677166864962583,-0.0217639501701544,-0.0214765316047503,-0.00313451532757568
"sigma_ev",0.00338378061355448,-0.000142168160798403,-0.000374977408957926,1.1581695636038e-05,-0.233411314170791,0.338322930422348,0.0052270373702168,0.00351408960952324,0.00140293831597599,0.00191972778503478
"truck",8.61455414764338e-05,-4.24854559583824e-06,-1.03579071778003e-05,-0.000580400552927164,-0.00677166864962583,0.0052270373702168,0.00261759067077982,0.000895730917922462,0.000859570509702264,0.00047088765966352
"suv",0.000124713005242511,-3.99556987515014e-06,-6.85626940159572e-06,-0.000204772231301754,-0.0217639501701544,0.00351408960952324,0.000895730917922462,0.0211984267812101,0.0139992092281967,0.000205416173109705
"sportcar",0.000145811419921736,-3.23684644685428e-06,-5.8965111693998e-06,-0.000195939412612287,-0.0214765316047503,0.00140293831597599,0.000859570509702264,0.0139992092281967,0.0232908709147933,0.000194370921691447
"van",2.90929838839106e-05,-1.16025974863336e-06,-2.57149520442354e-06,-0.000582118626898213,-0.00313451532757568,0.00191972778503478,0.00047088765966352,0.000205416173109705,0.000194370921691447,0.00248188618158124
