"","priceLogInc","mu_range","sigma_range","mu_size","sigma_size","sigma_ev","truck","suv","sportcar","van"
"priceLogInc",0.00197995649663974,-2.61075582882481e-06,-8.19624368026058e-06,0.00118340483855774,-0.00455235301097314,0.00204415758254619,0.000178550212189986,0.000137939208409964,0.000131473177789386,3.49104421420153e-05
"mu_range",-2.61075582882481e-06,2.93425849269314e-07,5.53985682170386e-07,-2.24592376932369e-05,0.000137471826418635,-0.000182276183122977,-7.68136668029148e-06,-6.2760568995359e-06,-3.78569759071682e-06,-2.32573263412306e-06
"sigma_range",-8.19624368026057e-06,5.53985682170386e-07,1.52037899104618e-06,-4.83135931949399e-05,0.000322939443482712,-0.000471917792386056,-1.90651687749022e-05,-1.30448080537162e-05,-7.86218318805848e-06,-5.04449961884673e-06
"mu_size",0.00118340483855774,-2.24592376932369e-05,-4.83135931949399e-05,0.241307040644414,-0.0968220997779661,0.0217021422456187,-0.000403036528367288,0.00223539782495377,0.00180014373167317,-0.000723067042187349
"sigma_size",-0.00455235301097314,0.000137471826418635,0.000322939443482713,-0.0968220997779661,0.298770953832941,-0.222926465113797,-0.00951490447512681,-0.0277744559496582,-0.0255245936123519,-0.00362213022541836
"sigma_ev",0.00204415758254619,-0.000182276183122977,-0.000471917792386056,0.0217021422456187,-0.222926465113797,0.413051756434655,0.0110828495894991,0.00797075795616457,0.00291137714573544,0.00380108622306606
"truck",0.000178550212189986,-7.68136668029148e-06,-1.90651687749022e-05,-0.000403036528367288,-0.00951490447512682,0.0110828495894991,0.00254741836395149,0.000647431896674841,0.000584319942274574,0.000463779523583802
"suv",0.000137939208409964,-6.2760568995359e-06,-1.30448080537162e-05,0.00223539782495377,-0.0277744559496582,0.00797075795616457,0.000647431896674841,0.0208462397615624,0.0146821394517106,0.00019965934876923
"sportcar",0.000131473177789386,-3.78569759071682e-06,-7.86218318805849e-06,0.00180014373167318,-0.0255245936123519,0.00291137714573544,0.000584319942274574,0.0146821394517106,0.021070898159861,0.000171632626802575
"van",3.49104421420153e-05,-2.32573263412306e-06,-5.04449961884673e-06,-0.000723067042187349,-0.00362213022541836,0.00380108622306606,0.000463779523583802,0.00019965934876923,0.000171632626802575,0.00218283314446851
